tick,robot,x,y,heading,fwd_cmd,lat_cmd,yaw_cmd,dpos,d_collisions,dist_to_target
63,3,10.59,47.19,2.056,0.983,0.0,-0.262,1.08,0,
64,0,101.8,101.26,-2.294,0.0,0.0,1.0,1.331,0,18.3
64,1,136.5,83.19,-1.125,1.0,0.0,0.023,0.108,1,12.5
64,2,44.6,10.65,-1.547,0.0,0.0,-1.0,0.0,0,
64,3,10.03,48.25,2.023,0.989,0.0,-0.214,1.2,0,
65,0,101.03,100.38,-2.283,0.0,0.0,1.0,1.171,0,18.8
65,1,136.5,83.08,-1.121,1.0,0.0,0.023,0.108,1,12.4
65,2,44.6,10.65,-1.696,0.0,0.0,-1.0,0.0,0,
65,3,9.45,49.44,1.995,0.992,0.0,-0.176,1.32,0,
66,0,100.37,99.61,-2.254,0.0,0.0,1.0,1.011,0,19.3
66,1,136.5,82.97,-1.117,1.0,0.0,0.024,0.108,1,12.3
66,2,44.6,10.65,-1.853,0.0,0.0,-1.0,0.0,0,
66,3,8.86,50.75,1.972,0.995,0.0,-0.146,1.44,0,
67,0,99.83,98.95,-2.208,0.0,0.0,1.0,0.851,0,19.7
67,1,136.5,82.86,-1.113,1.0,0.0,0.024,0.108,1,12.2
67,2,44.6,10.65,-2.01,0.0,0.0,-1.0,0.0,0,
67,3,8.27,52.12,1.953,0.996,0.0,-0.123,1.494,0,
68,0,99.42,98.4,-2.145,0.0,0.0,1.0,0.691,0,20.0
68,1,136.5,82.75,-1.11,1.0,0.0,0.024,0.108,1,12.1
68,2,44.6,10.65,-2.167,0.0,0.0,-1.0,0.0,0,
68,3,7.72,53.51,1.937,0.997,0.0,-0.104,1.496,0,
69,0,99.13,97.95,-2.064,0.0,0.0,1.0,0.531,0,20.2
69,1,136.5,82.65,-1.106,1.0,0.0,0.025,0.107,1,12.0
69,2,44.57,10.61,-2.325,0.035,0.0,-1.0,0.053,0,
69,3,7.5,54.91,1.923,0.998,0.0,-0.089,1.415,1,
70,0,98.95,97.62,-1.965,0.0,0.0,1.0,0.371,0,20.4
70,1,136.5,82.54,-1.102,1.0,0.0,0.025,0.107,1,11.9
70,2,44.45,10.48,-2.482,0.185,0.0,-1.0,0.173,0,
70,3,7.5,55.02,1.915,0.999,0.0,-0.052,0.113,1,
71,0,98.87,97.43,-1.849,0.0,0.0,1.0,0.211,0,20.5
71,1,136.5,82.43,-1.098,1.0,0.0,0.025,0.107,1,11.8
71,2,44.22,10.3,-2.639,0.318,0.0,-1.0,0.293,0,
71,3,7.5,55.14,1.909,1.0,0.0,-0.037,0.113,1,
72,0,98.86,97.38,-1.716,0.0,0.0,1.0,0.051,0,20.5
72,1,136.5,82.33,-1.094,1.0,0.0,0.026,0.107,1,11.7
72,2,43.86,10.11,-2.796,0.434,0.0,-1.0,0.413,0,
72,3,7.5,55.25,1.905,1.0,0.0,-0.026,0.113,1,
73,0,98.86,97.38,-1.565,0.0,0.0,1.0,0.0,0,20.5
73,1,136.5,82.22,-1.09,1.0,0.0,0.026,0.107,1,11.6
73,2,43.35,9.92,-2.953,0.534,0.0,-1.0,0.533,0,
73,3,7.5,55.36,1.902,1.0,0.0,-0.017,0.113,1,
74,0,98.86,97.26,-1.408,0.092,0.0,1.0,0.12,0,20.4
74,1,136.5,82.11,-1.085,1.0,0.0,0.026,0.106,1,11.5
74,2,42.71,9.8,-3.11,0.622,0.0,-1.0,0.653,0,
74,3,7.5,55.48,1.9,1.0,0.0,-0.011,0.113,1,
75,0,98.9,97.02,-1.25,0.241,0.0,1.0,0.24,0,20.4
75,1,136.5,82.01,-1.081,1.0,0.0,0.027,0.106,1,11.5
75,2,41.94,9.78,3.016,0.722,0.0,-1.0,0.773,0,
75,3,7.5,55.59,1.899,1.0,0.0,-0.005,0.114,1,
